YearMonth	Monthly Count	Smooth Count
200601	29572440	28386088
200602	27199736	29621790
200603	32093194	29508623.33
200604	29232940	29556930.33
200605	27344657	30100400.33
200606	33723604	30990886.67
200607	31904399	33134952.33
200608	33776854	32378029.33
200609	31452835	32840998
200610	33293305	30849836.33
200611	27803369	31206709.67
200612	32523455	31679664
200701	34712168	32961422.33
200702	31648644	34481458.67
200703	37083564	33794018
200704	32649846	35171845.33
200705	35782126	34308923.33
200706	34494798	35344431.33
200707	35756370	35655487.33
200708	36715294	35158362
200709	33003422	35774714.67
200710	37605428	35278211.33
200711	35225784	36539248.33
200712	36786533	36577464.67
200801	37720077	36551631.33
200802	35148284	36696291
200803	37220512	36473449
200804	37051551	37268565.33
200805	37533633	37213043.67
200806	37053947	38189623.33
200807	39981290	38118465
200808	37320158	38617406
200809	38550770	38831845
200810	40624607	38313643.67
200811	35765554	39812126.67
200812	43046219	39026503.67
200901	38267738	39437131.33
200902	36997437	38977256
200903	41666593	39729461.33
200904	40524354	40728440.67
200905	39994375	41031222.33
200906	42574938	41669715.83
200907	42439834.5	41401858.17
200908	39190802	41048731.83
200909	41515559	41104816.33
200910	42608088	41448787.33
200911	40222715	42730410.33
200912	45360428	41521180.33
201001	38980398	40731102
201002	37852480	40719560
201003	45325802	41872594
201004	42439500	43082637.33
201005	41482610	42933539.67
201006	44878509	43315693
201007	43585960	44238907.67
201008	44252254	43985650
201009	44118736	43975360
201010	43555090	44621222.33
201011	46189841	45564870.67
201012	46949681	45946798
201101	44700872	44569825.93
201102	42058924.8	45350975.6
201103	49293130	45008322.93
201104	43672914	46360111.33
201105	46114290	46053971.33
201106	48374710	46163436.67
201107	44001310	46893080
201108	48303220	46363175
201109	46784995	46918425
201110	45667060	46017425
201111	45600220	46003570
201112	46743430	45753619.67
201201	44917209	45030472.33
201202	43430778	44619477.33
201203	45510445	43849381
201204	42606920	44899984.33
201205	46582588	44413199
201206	44050089	44925499
201207	44143820	44750583
201208	46057840	43720561.67
201209	40960025	43772123.33
201210	44298505	42869053.33
201211	43348630	43118305
201212	41707780	43053415
201301	44103835	41365745
201302	38285620	40682513
201303	39658084	40088862
201304	42322882	41738896
201305	43235722	41568222.67
201306	39146064	41835991.67
201307	43126189	41297380
201308	41619887	40470698.67
201309	36666020	39911435.67
201310	41448400	38027203.33
201311	35967190	38611436
201312	38418718	37425568
201401	37890796	36565589
201402	33387253	36187293
201403	37283830	35875929.33
201404	36956705	37215836.67
201405	37406975	37176707.33
201406	37166442	38626275.67
201407	41305410	39242652.33
201408	39256105	40097955
201409	39732350	40183511.67
201410	41562080	38927386.67
201411	35487730	39755220
201412	42215850	38851790
